Period,GDP
1959-09-01,65801
1959-12-01,66501
1960-03-01,67357
1960-06-01,68245
1960-09-01,68854
1960-12-01,68977
1961-03-01,68627
1961-06-01,68148
1961-09-01,68004
1961-12-01,68732
1962-03-01,70121
1962-06-01,71462
1962-09-01,72704
1962-12-01,73639
1963-03-01,74471
1963-06-01,75609
1963-09-01,76969
1963-12-01,78439
1964-03-01,79576
1964-06-01,80502
1964-09-01,81819
1964-12-01,83342
1965-03-01,84588
1965-06-01,85400
1965-09-01,85568
1965-12-01,85469
1966-03-01,85789
1966-06-01,86774
1966-09-01,88485
1966-12-01,90445
1967-03-01,92150
1967-06-01,93625
1967-09-01,94456
1967-12-01,94983
1968-03-01,95913
1968-06-01,97756
1968-09-01,100194
1968-12-01,102180
1969-03-01,103393
1969-06-01,104684
1969-09-01,106458
1969-12-01,108949
1970-03-01,111196
1970-06-01,112707
1970-09-01,113465
1970-12-01,113837
1971-03-01,114800
1971-06-01,116583
1971-09-01,117924
1971-12-01,118547
1972-03-01,118686
1972-06-01,118823
1972-09-01,119820
1972-12-01,121255
1973-03-01,122679
1973-06-01,124349
1973-09-01,126113
1973-12-01,127365
1974-03-01,127673
1974-06-01,127143
1974-09-01,126651
1974-12-01,127461
1975-03-01,129163
1975-06-01,130021
1975-09-01,130362
1975-12-01,130960
1976-03-01,132518
1976-06-01,134761
1976-09-01,135974
1976-12-01,136402
1977-03-01,137040
1977-06-01,137368
1977-09-01,137443
1977-12-01,137476
1978-03-01,137988
1978-06-01,139209
1978-09-01,141205
1978-12-01,143247
1979-03-01,144482
1979-06-01,145124
1979-09-01,145987
1979-12-01,147343
1980-03-01,148665
1980-06-01,149454
1980-09-01,150420
1980-12-01,151830
1981-03-01,153774
1981-06-01,155989
1981-09-01,157514
1981-12-01,158045
1982-03-01,157875
1982-06-01,157498
1982-09-01,156636
1982-12-01,154734
1983-03-01,153229
1983-06-01,153739
1983-09-01,156362
1983-12-01,159970
1984-03-01,163217
1984-06-01,165396
1984-09-01,166861
1984-12-01,168423
1985-03-01,171016
1985-06-01,173873
1985-09-01,175985
1985-12-01,176863
1986-03-01,176891
1986-06-01,177151
1986-09-01,178154
1986-12-01,179904
1987-03-01,182343
1987-06-01,185340
1987-09-01,188658
1987-12-01,191441
1988-03-01,192884
1988-06-01,193732
1988-09-01,195011
1988-12-01,197435
1989-03-01,200627
1989-06-01,203415
1989-09-01,205204
1989-12-01,206175
1990-03-01,206498
1990-06-01,206849
1990-09-01,206766
1990-12-01,205963
1991-03-01,205085
1991-06-01,204498
1991-09-01,204583
1991-12-01,205443
1992-03-01,206488
1992-06-01,208297
1992-09-01,210970
1992-12-01,213863
1993-03-01,215914
1993-06-01,217070
1993-09-01,218596
1993-12-01,221466
1994-03-01,224916
1994-06-01,228032
1994-09-01,230158
1994-12-01,231259
1995-03-01,232385
1995-06-01,234072
1995-09-01,236535
1995-12-01,239355
1996-03-01,241796
1996-06-01,244000
1996-09-01,245854
1996-12-01,248067
1997-03-01,251328
1997-06-01,255036
1997-09-01,258324
1997-12-01,260650
1998-03-01,262859
1998-06-01,266264
1998-09-01,270320
1998-12-01,274078
1999-03-01,276505
1999-06-01,278622
1999-09-01,281426
1999-12-01,284715
2000-03-01,287561
2000-06-01,288975
2000-09-01,289476
2000-12-01,290082
2001-03-01,291561
2001-06-01,294445
2001-09-01,297744
2001-12-01,301136
2002-03-01,304614
2002-06-01,307812
2002-09-01,310299
2002-12-01,311562
2003-03-01,312431
2003-06-01,314731
2003-09-01,318688
2003-12-01,323237
2004-03-01,326785
2004-06-01,329201
2004-09-01,331535
2004-12-01,333940
2005-03-01,336281
2005-06-01,338871
2005-09-01,341661
2005-12-01,343784
2006-03-01,345251
2006-06-01,347130
2006-09-01,350822
2006-12-01,355640
2007-03-01,360174
2007-06-01,363611
2007-09-01,366670
2007-12-01,369539
2008-03-01,372435
2008-06-01,374399
2008-09-01,375554
2008-12-01,376662
2009-03-01,378375
2009-06-01,380495
2009-09-01,382740
2009-12-01,384676
2010-03-01,386765
2010-06-01,389348
2010-09-01,391827
2010-12-01,393919
2011-03-01,396110
2011-06-01,399424
2011-09-01,404106
2011-12-01,409084
2012-03-01,412989
2012-06-01,416134
2012-09-01,418636
2012-12-01,420508
2013-03-01,422167
2013-06-01,424321
2013-09-01,427290
2013-12-01,430655
2014-03-01,433705
2014-06-01,436037
2014-09-01,438208
2014-12-01,440312
2015-03-01,442653
2015-06-01,445353
2015-09-01,448449
2015-12-01,452009
2016-03-01,455295
2016-06-01,458016
2016-09-01,460529
2016-12-01,462824
2017-03-01,465595
2017-06-01,468795
2017-09-01,472154
2017-12-01,475911
2018-03-01,479663
2018-06-01,483030
2018-09-01,485447
2018-12-01,486988
2019-03-01,488922
